brand_name,model_name,normalized_name,category,version_name,release_year,season,generation,description,technical_specs,product_url,image_url,discontinued_year,is_active,created_at,updated_at,history
Edelrid,Bulletproof,bulletproof,Carabiner,Bulletproof,,,,Steel-insert climbing carabiner.,,,,,1,2026-05-17,,
Edelrid,Boa Eco,boa_eco,Rope,Boa Eco,,,,Dynamic climbing rope.,,,,,1,2026-05-17,,
Beal,Joker,joker,Rope,Joker,,,,Dynamic climbing rope.,,,,,1,2026-05-17,,
Beal,Tiger,tiger,Rope,Tiger,,,,Dynamic climbing rope.,,,,,1,2026-05-17,,
Beal,Opera,opera,Rope,Opera,,,,Lightweight dynamic climbing rope.,,,,,1,2026-05-17,,
Beal,Karma,karma,Rope,Karma,,,,Dynamic climbing rope.,,,,,1,2026-05-17,,
Beal,Birdie,birdie,Belay device,Birdie,,,,Assisted braking belay device.,,,,,1,2026-05-17,,
Beal,Aero Classic,aero_classic,Harness,Aero Classic,,,,Climbing harness.,,,,,1,2026-05-17,,
La Sportiva,Solution,solution,Climbing shoe,Solution,,,,Performance climbing shoe.,,,,,1,2026-05-17,,
La Sportiva,Solution Comp,solution_comp,Climbing shoe,Solution Comp,,,,Competition climbing shoe.,,,,,1,2026-05-17,,
La Sportiva,Katana Lace,katana_lace,Climbing shoe,Katana Lace,,,,Technical climbing shoe.,,,,,1,2026-05-17,,
La Sportiva,Miura,miura,Climbing shoe,Miura,,,,Technical climbing shoe.,,,,,1,2026-05-17,,
La Sportiva,TC Pro,tc_pro,Climbing shoe,TC Pro,,,,Trad and crack climbing shoe.,,,,,1,2026-05-17,,
La Sportiva,Theory,theory,Climbing shoe,Theory,,,,Indoor and competition climbing shoe.,,,,,1,2026-05-17,,
La Sportiva,TX4,tx4,Approach shoe,TX4,,,,Approach shoe.,,,,,1,2026-05-17,,
La Sportiva,Ultra Raptor,ultra_raptor,Trail running shoe,Ultra Raptor,,,,Mountain trail running shoe.,,,,,1,2026-05-17,,
La Sportiva,Akasha,akasha,Trail running shoe,Akasha,,,,Trail running shoe.,,,,,1,2026-05-17,,
La Sportiva,Bushido,bushido,Trail running shoe,Bushido,,,,Technical trail running shoe.,,,,,1,2026-05-17,,
SCARPA,Instinct VS,instinct_vs,Climbing shoe,Instinct VS,,,,Performance climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Instinct VSR,instinct_vsr,Climbing shoe,Instinct VSR,,,,Performance climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Drago,drago,Climbing shoe,Drago,,,,Soft performance climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Vapor V,vapor_v,Climbing shoe,Vapor V,,,,Technical climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Boostic,boostic,Climbing shoe,Boostic,,,,Edging climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Mago,mago,Climbing shoe,Mago,,,,Performance climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Maestro,maestro,Climbing shoe,Maestro,,,,Trad climbing shoe.,,,,,1,2026-05-17,,
SCARPA,Ribelle,ribelle,Mountaineering boot,Ribelle,,,,Light mountaineering boot.,,,,,1,2026-05-17,,
SCARPA,Spin,spin,Trail running shoe,Spin,,,,Trail running shoe.,,,,,1,2026-05-17,,
SCARPA,Mescalito,mescalito,Approach shoe,Mescalito,,,,Approach shoe.,,,,,1,2026-05-17,,
Grivel,G12,g12,Crampon,G12,,,,Mountaineering crampon.,,,,,1,2026-05-17,,
Grivel,G14,g14,Crampon,G14,,,,Technical mountaineering crampon.,,,,,1,2026-05-17,,
Grivel,Air Tech,air_tech,Ice axe,Air Tech,,,,Mountaineering ice axe.,,,,,1,2026-05-17,,
Grivel,North Machine,north_machine,Ice tool,North Machine,,,,Technical ice tool.,,,,,1,2026-05-17,,
Grivel,Stealth,stealth,Helmet,Stealth,,,,Climbing helmet.,,,,,1,2026-05-17,,
CAMP,Energy,energy,Harness,Energy,,,,Climbing harness.,,,,,1,2026-05-17,,
CAMP,Storm,storm,Helmet,Storm,,,,Climbing helmet.,,,,,1,2026-05-17,,
CAMP,Corsa,corsa,Ice axe,Corsa,,,,Lightweight ice axe.,,,,,1,2026-05-17,,
CAMP,X-Dream,x_dream,Ice tool,X-Dream,,,,Technical ice tool.,,,,,1,2026-05-17,,
CAMP,Photon,photon,Carabiner,Photon,,,,Lightweight climbing carabiner.,,,,,1,2026-05-17,,
Wild Country,Friend,friend,Protection,Friend,,,,Spring-loaded camming device.,,,,,1,2026-05-17,,
Wild Country,Zero Friend,zero_friend,Protection,Zero Friend,,,,Small camming device.,,,,,1,2026-05-17,,
Wild Country,Rock,rock,Protection,Rock,,,,Passive climbing nut.,,,,,1,2026-05-17,,
Wild Country,Session,session,Harness,Session,,,,Climbing harness.,,,,,1,2026-05-17,,
Wild Country,Syncro,syncro,Harness,Syncro,,,,Climbing harness.,,,,,1,2026-05-17,,
DMM,Dragon Cam,dragon_cam,Protection,Dragon Cam,,,,Spring-loaded camming device.,,,,,1,2026-05-17,,
DMM,Wallnut,wallnut,Protection,Wallnut,,,,Passive climbing nut.,,,,,1,2026-05-17,,
DMM,Pivot,pivot,Belay device,Pivot,,,,Guide-mode belay device.,,,,,1,2026-05-17,,
DMM,Phantom,phantom,Carabiner,Phantom,,,,Lightweight climbing carabiner.,,,,,1,2026-05-17,,
DMM,Alpha Trad,alpha_trad,Quickdraw,Alpha Trad,,,,Trad climbing quickdraw.,,,,,1,2026-05-17,,
Arc’teryx,Alpha SV,alpha_sv,Jacket,Alpha SV,,,,Alpine shell jacket.,,,,,1,2026-05-17,,
Arc’teryx,Beta AR,beta_ar,Jacket,Beta AR,,,,Mountain shell jacket.,,,,,1,2026-05-17,,
Arc’teryx,Atom,atom,Jacket,Atom,,,,Insulated midlayer jacket.,,,,,1,2026-05-17,,
Arc’teryx,Cerium,cerium,Jacket,Cerium,,,,Down insulated jacket.,,,,,1,2026-05-17,,
Arc’teryx,Acrux,acrux,Mountaineering boot,Acrux,,,,Alpine footwear.,,,,,1,2026-05-17,,
Patagonia,Down Sweater,down_sweater,Jacket,Down Sweater,,,,Down insulated jacket.,,,,,1,2026-05-17,,
Patagonia,Nano Puff,nano_puff,Jacket,Nano Puff,,,,Synthetic insulated jacket.,,,,,1,2026-05-17,,
Patagonia,R1 Air,r1_air,Fleece,R1 Air,,,,Technical fleece.,,,,,1,2026-05-17,,
Patagonia,Torrentshell,torrentshell,Jacket,Torrentshell,,,,Rain shell jacket.,,,,,1,2026-05-17,,
Patagonia,Dirt Roamer,dirt_roamer,Pack,Dirt Roamer,,,,Mountain bike pack/apparel line.,,,,,1,2026-05-17,,
The North Face,Base Camp Duffel,base_camp_duffel,Bag,Base Camp Duffel,,,,Expedition-style duffel bag.,,,,,1,2026-05-17,,
The North Face,Summit Series,summit_series,Jacket,Summit Series,,,,Mountain apparel line.,,,,,1,2026-05-17,,
The North Face,Vectiv,vectiv,Trail running shoe,Vectiv,,,,Trail running shoe line.,,,,,1,2026-05-17,,
The North Face,Denali,denali,Fleece,Denali,,,,Fleece jacket.,,,,,1,2026-05-17,,
The North Face,Hedgehog,hedgehog,Hiking shoe,Hedgehog,,,,Hiking shoe.,,,,,1,2026-05-17,,
Salomon,Speedcross,speedcross,Trail running shoe,Speedcross,,,,Trail running shoe.,,,,,1,2026-05-17,,
Salomon,S/Lab Ultra,s_lab_ultra,Trail running shoe,S/Lab Ultra,,,,Performance trail running shoe.,,,,,1,2026-05-17,,
Salomon,Sense Ride,sense_ride,Trail running shoe,Sense Ride,,,,Trail running shoe.,,,,,1,2026-05-17,,
Salomon,Genesis,genesis,Trail running shoe,Genesis,,,,Trail running shoe.,,,,,1,2026-05-17,,
Salomon,Adv Skin,adv_skin,Hydration vest,Adv Skin,,,,Trail running hydration vest.,,,,,1,2026-05-17,,
Salomon,S/Pro,s_pro,Ski boot,S/Pro,,,,Alpine ski boot line.,,,,,1,2026-05-17,,
Salomon,QST,qst,Ski,QST,,,,Freeride ski line.,,,,,1,2026-05-17,,
Salomon,S/Race,s_race,Ski,S/Race,,,,Race ski line.,,,,,1,2026-05-17,,
Ortovox,Peak,peak,Pack,Peak,,,,Alpine pack line.,,,,,1,2026-05-17,,
Ortovox,Trad,trad,Pack,Trad,,,,Climbing pack line.,,,,,1,2026-05-17,,
Ortovox,Free Rider,free_rider,Pack,Free Rider,,,,Freeride pack line.,,,,,1,2026-05-17,,
Ortovox,Diract,diract,Avalanche safety,Diract,,,,Avalanche transceiver.,,,,,1,2026-05-17,,
Ortovox,Avabag,avabag,Avalanche safety,Avabag,,,,Avalanche airbag system.,,,,,1,2026-05-17,,
Deuter,Speed Lite,speed_lite,Pack,Speed Lite,,,,Light hiking pack.,,,,,1,2026-05-17,,
Deuter,Guide,guide,Pack,Guide,,,,Alpine pack line.,,,,,1,2026-05-17,,
Deuter,Trail,trail,Pack,Trail,,,,Hiking pack line.,,,,,1,2026-05-17,,
Deuter,Aircontact,aircontact,Pack,Aircontact,,,,Trekking pack line.,,,,,1,2026-05-17,,
Vaude,Brenta,brenta,Pack,Brenta,,,,Hiking pack.,,,,,1,2026-05-17,,
Vaude,Bike Alpin,bike_alpin,Pack,Bike Alpin,,,,Mountain bike pack.,,,,,1,2026-05-17,,
Vaude,Moab,moab,Apparel,Moab,,,,Mountain bike apparel line.,,,,,1,2026-05-17,,
Millet,Trilogy,trilogy,Jacket,Trilogy,,,,Alpine apparel line.,,,,,1,2026-05-17,,
Millet,Ubic,ubic,Pack,Ubic,,,,Mountain pack line.,,,,,1,2026-05-17,,
Millet,Peuterey,peuterey,Pack,Peuterey,,,,Alpine pack line.,,,,,1,2026-05-17,,
Mountain Equipment,Lhotse,lhotse,Jacket,Lhotse,,,,Mountain shell jacket.,,,,,1,2026-05-17,,
Mountain Equipment,Changabang,changabang,Jacket,Changabang,,,,Alpine shell jacket.,,,,,1,2026-05-17,,
Mountain Equipment,Glacier,glacier,Sleeping bag,Glacier,,,,Mountain sleeping bag line.,,,,,1,2026-05-17,,
Rab,Microlight,microlight,Jacket,Microlight,,,,Down jacket line.,,,,,1,2026-05-17,,
Rab,Kangri,kangri,Jacket,Kangri,,,,Waterproof shell jacket.,,,,,1,2026-05-17,,
Rab,Mythic,mythic,Jacket,Mythic,,,,Lightweight down line.,,,,,1,2026-05-17,,
Montane,Featherlite,featherlite,Jacket,Featherlite,,,,Lightweight wind shell line.,,,,,1,2026-05-17,,
Montane,Trailblazer,trailblazer,Pack,Trailblazer,,,,Trail pack line.,,,,,1,2026-05-17,,
Montane,Minimus,minimus,Jacket,Minimus,,,,Lightweight waterproof jacket.,,,,,1,2026-05-17,,
Bauer,Vapor Hyperlite,vapor_hyperlite,Hockey skate,Vapor Hyperlite,,,,Elite hockey skate line.,,,,,1,2026-05-17,,
Bauer,Supreme Mach,supreme_mach,Hockey skate,Supreme Mach,,,,Elite hockey skate line.,,,,,1,2026-05-17,,
Bauer,Nexus Sync,nexus_sync,Hockey stick,Nexus Sync,,,,Hockey stick line.,,,,,1,2026-05-17,,
Bauer,Re-Akt,re_akt,Hockey helmet,Re-Akt,,,,Hockey helmet line.,,,,,1,2026-05-17,,
Bauer,Pro Series,pro_series,Hockey protective,Pro Series,,,,Hockey protective equipment line.,,,,,1,2026-05-17,,
CCM,Jetspeed FT,jetspeed_ft,Hockey skate,Jetspeed FT,,,,Hockey skate line.,,,,,1,2026-05-17,,
CCM,Tacks XF,tacks_xf,Hockey skate,Tacks XF,,,,Hockey skate line.,,,,,1,2026-05-17,,
CCM,Ribcor,ribcor,Hockey stick,Ribcor,,,,Hockey stick line.,,,,,1,2026-05-17,,
CCM,Tacks,tacks,Hockey protective,Tacks,,,,Hockey equipment line.,,,,,1,2026-05-17,,
CCM,Axis,axis,Goalie equipment,Axis,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Warrior Sports,Alpha,alpha,Hockey stick,Alpha,,,,Hockey stick line.,,,,,1,2026-05-17,,
Warrior Sports,Covert,covert,Hockey stick,Covert,,,,Hockey stick line.,,,,,1,2026-05-17,,
Warrior Sports,Ritual,ritual,Goalie equipment,Ritual,,,,Goalie equipment line.,,,,,1,2026-05-17,,
TRUE Hockey,Catalyst,catalyst,Hockey stick,Catalyst,,,,Hockey stick line.,,,,,1,2026-05-17,,
TRUE Hockey,HZRDUS,hzrdus,Hockey stick,HZRDUS,,,,Hockey stick line.,,,,,1,2026-05-17,,
TRUE Hockey,TF,tf,Hockey skate,TF,,,,Hockey skate line.,,,,,1,2026-05-17,,
Sherwood,Rekker,rekker,Hockey stick,Rekker,,,,Hockey stick line.,,,,,1,2026-05-17,,
Sherwood,Code,code,Hockey stick,Code,,,,Hockey stick line.,,,,,1,2026-05-17,,
Graf Hockey,PeakSpeed,peakspeed,Hockey skate,PeakSpeed,,,,Hockey skate line.,,,,,1,2026-05-17,,
Graf Hockey,Ultra,ultra,Hockey skate,Ultra,,,,Hockey skate line.,,,,,1,2026-05-17,,
STX,Surgeon,surgeon,Hockey stick,Surgeon,,,,Hockey stick line.,,,,,1,2026-05-17,,
STX,Stallion,stallion,Hockey stick,Stallion,,,,Hockey stick line.,,,,,1,2026-05-17,,
Vaughn Hockey,Velocity,velocity,Goalie equipment,Velocity,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Vaughn Hockey,Ventus,ventus,Goalie equipment,Ventus,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Brian’s Custom Sports,G-Netik,g_netik,Goalie equipment,G-Netik,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Brian’s Custom Sports,Optik,optik,Goalie equipment,Optik,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Passau Hockey,Pro Pack,pro_pack,Goalie equipment,Pro Pack,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Passau Hockey,Starke,starke,Goalie equipment,Starke,,,,Goalie equipment line.,,,,,1,2026-05-17,,
Trek,Émonda,emonda,Road bike,Émonda,,,,Lightweight road bike line.,,,,,1,2026-05-17,,
Trek,Madone,madone,Road bike,Madone,,,,Aero road bike line.,,,,,1,2026-05-17,,
Trek,Domane,domane,Road bike,Domane,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Trek,Checkpoint,checkpoint,Gravel bike,Checkpoint,,,,Gravel bike line.,,,,,1,2026-05-17,,
Trek,Marlin,marlin,Mountain bike,Marlin,,,,Hardtail mountain bike line.,,,,,1,2026-05-17,,
Trek,Fuel EX,fuel_ex,Mountain bike,Fuel EX,,,,Trail mountain bike line.,,,,,1,2026-05-17,,
Specialized,Tarmac,tarmac,Road bike,Tarmac,,,,Road race bike line.,,,,,1,2026-05-17,,
Specialized,Roubaix,roubaix,Road bike,Roubaix,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Specialized,Aethos,aethos,Road bike,Aethos,,,,Lightweight road bike line.,,,,,1,2026-05-17,,
Specialized,Diverge,diverge,Gravel bike,Diverge,,,,Gravel bike line.,,,,,1,2026-05-17,,
Specialized,Stumpjumper,stumpjumper,Mountain bike,Stumpjumper,,,,Trail mountain bike line.,,,,,1,2026-05-17,,
Specialized,Epic,epic,Mountain bike,Epic,,,,Cross-country mountain bike line.,,,,,1,2026-05-17,,
Cannondale,Supersix Evo,supersix_evo,Road bike,Supersix Evo,,,,Road race bike line.,,,,,1,2026-05-17,,
Cannondale,Synapse,synapse,Road bike,Synapse,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Cannondale,Topstone,topstone,Gravel bike,Topstone,,,,Gravel bike line.,,,,,1,2026-05-17,,
Cannondale,Scalpel,scalpel,Mountain bike,Scalpel,,,,Cross-country mountain bike line.,,,,,1,2026-05-17,,
Cannondale,Trail,trail,Mountain bike,Trail,,,,Hardtail mountain bike line.,,,,,1,2026-05-17,,
Scott,Addict,addict,Road bike,Addict,,,,Road bike line.,,,,,1,2026-05-17,,
Scott,Foil,foil,Road bike,Foil,,,,Aero road bike line.,,,,,1,2026-05-17,,
Scott,Scale,scale,Mountain bike,Scale,,,,Hardtail mountain bike line.,,,,,1,2026-05-17,,
Scott,Spark,spark,Mountain bike,Spark,,,,Cross-country mountain bike line.,,,,,1,2026-05-17,,
Scott,Speedster,speedster,Road bike,Speedster,,,,Road bike line.,,,,,1,2026-05-17,,
BMC,Teammachine,teammachine,Road bike,Teammachine,,,,Road race bike line.,,,,,1,2026-05-17,,
BMC,Roadmachine,roadmachine,Road bike,Roadmachine,,,,Endurance road bike line.,,,,,1,2026-05-17,,
BMC,Timemachine,timemachine,Triathlon bike,Timemachine,,,,Time trial and triathlon bike line.,,,,,1,2026-05-17,,
BMC,Fourstroke,fourstroke,Mountain bike,Fourstroke,,,,Cross-country mountain bike line.,,,,,1,2026-05-17,,
Canyon,Ultimate,ultimate,Road bike,Ultimate,,,,Road race bike line.,,,,,1,2026-05-17,,
Canyon,Aeroad,aeroad,Road bike,Aeroad,,,,Aero road bike line.,,,,,1,2026-05-17,,
Canyon,Endurace,endurace,Road bike,Endurace,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Canyon,Grail,grail,Gravel bike,Grail,,,,Gravel bike line.,,,,,1,2026-05-17,,
Canyon,Grizl,grizl,Gravel bike,Grizl,,,,Gravel bike line.,,,,,1,2026-05-17,,
Canyon,Spectral,spectral,Mountain bike,Spectral,,,,Trail mountain bike line.,,,,,1,2026-05-17,,
Cube,Agree,agree,Road bike,Agree,,,,Road bike line.,,,,,1,2026-05-17,,
Cube,Litening,litening,Road bike,Litening,,,,Road race bike line.,,,,,1,2026-05-17,,
Cube,Attain,attain,Road bike,Attain,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Cube,Nuroad,nuroad,Gravel bike,Nuroad,,,,Gravel bike line.,,,,,1,2026-05-17,,
Cube,Reaction,reaction,Mountain bike,Reaction,,,,Hardtail mountain bike line.,,,,,1,2026-05-17,,
Pinarello,Dogma,dogma,Road bike,Dogma,,,,Road race bike line.,,,,,1,2026-05-17,,
Pinarello,Prince,prince,Road bike,Prince,,,,Road bike line.,,,,,1,2026-05-17,,
Pinarello,Grevil,grevil,Gravel bike,Grevil,,,,Gravel bike line.,,,,,1,2026-05-17,,
Colnago,V4Rs,v4rs,Road bike,V4Rs,,,,Road race bike line.,,,,,1,2026-05-17,,
Colnago,C68,c68,Road bike,C68,,,,Road bike line.,,,,,1,2026-05-17,,
Colnago,G3-X,g3_x,Gravel bike,G3-X,,,,Gravel bike line.,,,,,1,2026-05-17,,
Bianchi,Oltre,oltre,Road bike,Oltre,,,,Aero road bike line.,,,,,1,2026-05-17,,
Bianchi,Specialissima,specialissima,Road bike,Specialissima,,,,Lightweight road bike line.,,,,,1,2026-05-17,,
Bianchi,Infinito,infinito,Road bike,Infinito,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Orbea,Orca,orca,Road bike,Orca,,,,Road race bike line.,,,,,1,2026-05-17,,
Orbea,Orca Aero,orca_aero,Road bike,Orca Aero,,,,Aero road bike line.,,,,,1,2026-05-17,,
Orbea,Terra,terra,Gravel bike,Terra,,,,Gravel bike line.,,,,,1,2026-05-17,,
Orbea,Oiz,oiz,Mountain bike,Oiz,,,,Cross-country mountain bike line.,,,,,1,2026-05-17,,
Cervélo,R5,r5,Road bike,R5,,,,Road race bike line.,,,,,1,2026-05-17,,
Cervélo,S5,s5,Road bike,S5,,,,Aero road bike line.,,,,,1,2026-05-17,,
Cervélo,Caledonia,caledonia,Road bike,Caledonia,,,,Endurance road bike line.,,,,,1,2026-05-17,,
Cervélo,Áspero,aspero,Gravel bike,Áspero,,,,Gravel bike line.,,,,,1,2026-05-17,,
Santa Cruz Bicycles,Nomad,nomad,Mountain bike,Nomad,,,,Enduro mountain bike line.,,,,,1,2026-05-17,,
Santa Cruz Bicycles,Hightower,hightower,Mountain bike,Hightower,,,,Trail mountain bike line.,,,,,1,2026-05-17,,
Santa Cruz Bicycles,Tallboy,tallboy,Mountain bike,Tallboy,,,,Trail mountain bike line.,,,,,1,2026-05-17,,
Santa Cruz Bicycles,Blur,blur,Mountain bike,Blur,,,,Cross-country mountain bike line.,,,,,1,2026-05-17,,
Shimano,Dura-Ace,dura_ace,Groupset,Dura-Ace,,,,Road groupset line.,,,,,1,2026-05-17,,
Shimano,Ultegra,ultegra,Groupset,Ultegra,,,,Road groupset line.,,,,,1,2026-05-17,,
Shimano,105,105,Groupset,105,,,,Road groupset line.,,,,,1,2026-05-17,,
Shimano,GRX,grx,Groupset,GRX,,,,Gravel groupset line.,,,,,1,2026-05-17,,
Shimano,XTR,xtr,Groupset,XTR,,,,Mountain bike groupset line.,,,,,1,2026-05-17,,
Shimano,Deore XT,deore_xt,Groupset,Deore XT,,,,Mountain bike groupset line.,,,,,1,2026-05-17,,
SRAM,Red,red,Groupset,Red,,,,Road groupset line.,,,,,1,2026-05-17,,
SRAM,Force,force,Groupset,Force,,,,Road groupset line.,,,,,1,2026-05-17,,
SRAM,Rival,rival,Groupset,Rival,,,,Road groupset line.,,,,,1,2026-05-17,,
SRAM,XX,xx,Groupset,XX,,,,Mountain bike groupset line.,,,,,1,2026-05-17,,
SRAM,X0,x0,Groupset,X0,,,,Mountain bike groupset line.,,,,,1,2026-05-17,,
SRAM,GX,gx,Groupset,GX,,,,Mountain bike groupset line.,,,,,1,2026-05-17,,
DT Swiss,ARC,arc,Wheelset,ARC,,,,Aero road wheel line.,,,,,1,2026-05-17,,
DT Swiss,ERC,erc,Wheelset,ERC,,,,Endurance road wheel line.,,,,,1,2026-05-17,,
DT Swiss,EXC,exc,Wheelset,EXC,,,,Mountain bike wheel line.,,,,,1,2026-05-17,,
Mavic,Cosmic,cosmic,Wheelset,Cosmic,,,,Road wheel line.,,,,,1,2026-05-17,,
Mavic,Ksyrium,ksyrium,Wheelset,Ksyrium,,,,Road wheel line.,,,,,1,2026-05-17,,
Mavic,Deemax,deemax,Wheelset,Deemax,,,,Mountain bike wheel line.,,,,,1,2026-05-17,,
Campagnolo,Super Record,super_record,Groupset,Super Record,,,,Road groupset line.,,,,,1,2026-05-17,,
Campagnolo,Record,record,Groupset,Record,,,,Road groupset line.,,,,,1,2026-05-17,,
Campagnolo,Ekar,ekar,Groupset,Ekar,,,,Gravel groupset line.,,,,,1,2026-05-17,,
Hope Technology,Tech 4,tech_4,Brake,Tech 4,,,,Mountain bike brake line.,,,,,1,2026-05-17,,
Hope Technology,Fortus,fortus,Wheelset,Fortus,,,,Mountain bike wheel line.,,,,,1,2026-05-17,,
Hope Technology,Pro 5,pro_5,Hub,Pro 5,,,,Bicycle hub line.,,,,,1,2026-05-17,,
Rapha,Pro Team,pro_team,Apparel,Pro Team,,,,Cycling apparel line.,,,,,1,2026-05-17,,
Rapha,Classic,classic,Apparel,Classic,,,,Cycling apparel line.,,,,,1,2026-05-17,,
Rapha,Explore,explore,Apparel,Explore,,,,Cycling apparel line.,,,,,1,2026-05-17,,
Nike,Pegasus,pegasus,Running shoe,Pegasus,,,,Daily running shoe line.,,,,,1,2026-05-17,,
Nike,Vomero,vomero,Running shoe,Vomero,,,,Cushioned running shoe line.,,,,,1,2026-05-17,,
Nike,Structure,structure,Running shoe,Structure,,,,Stability running shoe line.,,,,,1,2026-05-17,,
Nike,Invincible,invincible,Running shoe,Invincible,,,,Max-cushion running shoe line.,,,,,1,2026-05-17,,
Nike,Vaporfly,vaporfly,Running shoe,Vaporfly,,,,Road racing shoe line.,,,,,1,2026-05-17,,
Nike,Alphafly,alphafly,Running shoe,Alphafly,,,,Marathon racing shoe line.,,,,,1,2026-05-17,,
Adidas,Adizero Adios Pro,adizero_adios_pro,Running shoe,Adizero Adios Pro,,,,Road racing shoe line.,,,,,1,2026-05-17,,
