name,normalized_name,country_id,year_established,website_url,description,logo_url,is_active,created_at,updated_at,history
DMM,dmm,10,1981,https://dmmwales.com,"Welsh manufacturer of climbing hardware, carabiners, protection and rope-access equipment.",https://logo.clearbit.com/dmmwales.com,1,2026-05-16T00:00:00+02:00,,"DMM is a Welsh climbing and safety-equipment manufacturer known for carabiners, protection, pulleys and rescue hardware. The brand has a strong reputation among climbers, arborists and technical rescue users for UK-made metal equipment."
Arc’teryx,arc_teryx,3,1989,https://arcteryx.com,Canadian technical outdoor apparel and equipment brand.,https://logo.clearbit.com/arcteryx.com,1,2026-05-16T00:00:00+02:00,,"Arc'teryx was founded in Canada and became known for high-end technical apparel, packs and climbing equipment. The brand built a strong reputation around premium materials, weather protection and minimalist alpine design."
Patagonia,patagonia,16,1973,https://www.patagonia.com,Outdoor apparel and equipment brand with roots in climbing and mountain sports.,https://logo.clearbit.com/patagonia.com,1,2026-05-16T00:00:00+02:00,,"Patagonia grew out of Yvon Chouinard's climbing-equipment background and evolved into a major outdoor apparel and equipment company. The brand is known for climbing, skiing, trail and mountain products, as well as a strong environmental positioning."
The North Face,the_north_face,16,1966,https://www.thenorthface.com,"Outdoor brand producing apparel and equipment for hiking, mountaineering, skiing and trail running.",https://logo.clearbit.com/thenorthface.com,1,2026-05-16T00:00:00+02:00,,"The North Face started as a San Francisco outdoor retail and equipment business and developed into a global outdoor brand. It is associated with mountaineering, expedition gear, skiing, trail running and outdoor apparel."
Salomon,salomon,9,1947,https://www.salomon.com,"French sports brand active in trail running, skiing, hiking and outdoor footwear.",https://logo.clearbit.com/salomon.com,1,2026-05-16T00:00:00+02:00,,"Salomon began in the French Alps as a ski-binding specialist and expanded into skis, boots, trail-running shoes and outdoor equipment. The brand is now prominent across skiing, trail running, hiking and mountain sports."
Ortovox,ortovox,7,1980,https://www.ortovox.com,"German mountain brand focused on avalanche safety, ski touring and alpine apparel.",https://logo.clearbit.com/ortovox.com,1,2026-05-16T00:00:00+02:00,,"Ortovox was founded in Germany around avalanche transceiver technology and later expanded into mountain safety, wool-based apparel and ski-touring equipment. The brand remains strongly linked to avalanche rescue and alpine risk management."
Deuter,deuter,7,1898,https://www.deuter.com,German backpack and outdoor equipment brand.,https://logo.clearbit.com/deuter.com,1,2026-05-16T00:00:00+02:00,,"Deuter is a German backpack specialist with roots in mailbags and military packs before expanding into hiking, mountaineering, cycling and travel packs. The brand is well known for durable carrying systems and outdoor backpacks."
Vaude,vaude,7,1974,https://www.vaude.com,"German outdoor brand producing apparel, packs and cycling bags.",https://logo.clearbit.com/vaude.com,1,2026-05-16T00:00:00+02:00,,"Vaude is a German outdoor brand producing backpacks, tents, apparel and cycling equipment. It is especially known in Europe for hiking, mountain sports and a strong sustainability-oriented product strategy."
Millet,millet,9,1921,https://www.millet.com,"French alpine and outdoor brand focused on mountaineering, climbing and hiking.",https://logo.clearbit.com/millet.com,1,2026-05-16T00:00:00+02:00,,"Millet is a French mountain brand associated with alpinism, mountaineering packs, clothing and technical equipment. The brand has longstanding links with expeditions and high-altitude climbing."
Mountain Equipment,mountain_equipment,10,1961,https://www.mountain-equipment.com,British technical outdoor brand focused on mountaineering clothing and sleeping bags.,https://logo.clearbit.com/mountain-equipment.com,1,2026-05-16T00:00:00+02:00,,"Mountain Equipment is a British outdoor brand focused on technical clothing, sleeping bags and equipment for mountaineering and climbing. It is widely associated with alpine, expedition and cold-weather use."
Rab,rab,10,1981,https://rab.equipment,British mountain clothing and equipment brand.,https://logo.clearbit.com/rab.equipment,1,2026-05-16T00:00:00+02:00,,"Rab was founded by Scottish climber Rab Carrington and became known for down insulation, sleeping bags and technical mountain clothing. The brand has a strong position in climbing, mountaineering and cold-weather apparel."
Montane,montane,10,1993,https://montane.com,British outdoor clothing and equipment brand for mountain and endurance sports.,https://logo.clearbit.com/montane.com,1,2026-05-16T00:00:00+02:00,,"Montane is a British outdoor apparel and equipment brand focused on lightweight products for mountain endurance, hiking, climbing and trail running. The brand is closely linked to fast-and-light mountain use."
Bauer,bauer,3,1927,https://www.bauer.com,"Ice hockey equipment brand known for skates, sticks, helmets and protective gear.",https://logo.clearbit.com/bauer.com,1,2026-05-16T00:00:00+02:00,,"Bauer is one of the most established hockey equipment brands, originally known for skates and later for sticks, helmets, protective equipment and goalie gear. The brand is widely used across professional, competitive and recreational ice hockey."
CCM,ccm,3,1899,https://ccmhockey.com,"Canadian hockey brand producing skates, sticks, helmets and protective equipment.",https://logo.clearbit.com/ccmhockey.com,1,2026-05-16T00:00:00+02:00,,"CCM is a Canadian hockey brand with deep roots in bicycle and skate manufacturing before becoming a major name in ice-hockey equipment. It is known for skates, sticks, helmets, protective equipment and goalie products."
Warrior Sports,warrior_sports,16,1992,https://www.warrior.com,Sports equipment brand active in ice hockey and lacrosse.,https://logo.clearbit.com/warrior.com,1,2026-05-16T00:00:00+02:00,,"Warrior Sports began in lacrosse equipment and expanded strongly into hockey after entering the ice-hockey market. The brand is now known for hockey sticks, gloves, protective gear and performance equipment."
TRUE Hockey,true_hockey,16,2000,https://www.true-hockey.com,"Hockey brand producing sticks, skates and protective equipment.",https://logo.clearbit.com/true-hockey.com,1,2026-05-16T00:00:00+02:00,,"TRUE Hockey developed from TRUE Temper's expertise in composite shafts and sports equipment. The brand is known for hockey sticks, custom skates and player equipment, with emphasis on fit and composite construction."
Sherwood,sherwood,3,1949,https://www.sherwoodhockey.com,Canadian hockey brand known historically for hockey sticks and protective gear.,https://logo.clearbit.com/sherwoodhockey.com,1,2026-05-16T00:00:00+02:00,,Sherwood is a Canadian hockey brand historically known for wooden hockey sticks and later for composite sticks and protective gear. It remains one of the traditional names in ice-hockey equipment.
Graf Hockey,graf_hockey,4,1921,https://grafhockey.com,Swiss-origin hockey skate and equipment brand.,https://logo.clearbit.com/grafhockey.com,1,2026-05-16T00:00:00+02:00,,Graf Hockey originated in Switzerland and became known for premium hockey skates with a distinctive fit and boot construction. The brand has been especially visible among players looking for traditional skate feel and comfort.
STX,stx,16,1970,https://www.stx.com,Sports equipment brand active in lacrosse and hockey sticks/protective gear.,https://logo.clearbit.com/stx.com,1,2026-05-16T00:00:00+02:00,,"STX is a US sports-equipment brand best known in lacrosse and field hockey, with a later expansion into ice-hockey sticks and protective equipment. Its hockey range focuses on sticks, gloves and player gear."
Vaughn Hockey,vaughn_hockey,16,1982,https://vaughnhockey.com,Hockey brand specializing in goaltender equipment.,https://logo.clearbit.com/vaughnhockey.com,1,2026-05-16T00:00:00+02:00,,"Vaughn is a specialist hockey-goalie equipment brand known for pads, gloves, blockers and protective gear. The brand has a strong reputation among goaltenders for custom options and traditional craftsmanship."
Brian’s Custom Sports,brian_s_custom_sports,3,1984,https://www.goalies-only.com,Canadian hockey brand focused on custom goaltender equipment.,https://logo.clearbit.com/goalies-only.com,1,2026-05-16T00:00:00+02:00,,"Brian's Custom Sports is a Canadian goalie-equipment specialist known for highly customizable pads, gloves and blockers. The brand is closely associated with premium, made-to-order equipment for serious goaltenders."
Passau Hockey,passau_hockey,3,1984,https://passauhockey.com,Canadian custom goaltender equipment brand.,https://logo.clearbit.com/passauhockey.com,1,2026-05-16T00:00:00+02:00,,"Passau Hockey is a Canadian brand focused on goaltender equipment, particularly custom pads and protective gear. It serves a specialist segment of hockey players seeking personalized goalie products."
Trek,trek,16,1976,https://www.trekbikes.com,"American bicycle brand producing road, mountain, gravel and electric bikes.",https://logo.clearbit.com/trekbikes.com,1,2026-05-16T00:00:00+02:00,,"Trek was founded in Wisconsin and grew into one of the world's largest bicycle brands. Its range covers road, mountain, gravel, city and electric bikes, as well as components and accessories."
Specialized,specialized,16,1974,https://www.specialized.com,American bicycle and cycling equipment brand.,https://logo.clearbit.com/specialized.com,1,2026-05-16T00:00:00+02:00,,"Specialized was founded in California and became a major performance cycling brand across road, mountain, gravel and e-bikes. It is known for complete bicycles, helmets, shoes, tires and components."
Cannondale,cannondale,16,1971,https://www.cannondale.com,"Bicycle brand known for road, gravel, mountain and urban bikes.",https://logo.clearbit.com/cannondale.com,1,2026-05-16T00:00:00+02:00,,"Cannondale started as a US cycling company and became known for aluminum frames, distinctive frame designs and later high-performance road and mountain bikes. The brand remains active across road, gravel, mountain and urban cycling."
Scott,scott,16,1958,https://www.scott-sports.com,"Sports brand producing bikes, helmets, ski equipment and outdoor products.",https://logo.clearbit.com/scott-sports.com,1,2026-05-16T00:00:00+02:00,,"Scott originated in the United States with ski poles and later expanded into bicycles, running, skiing and motorsports equipment. In cycling, it is known for lightweight road bikes, mountain bikes and racing-oriented design."
BMC,bmc,4,1994,https://www.bmc-switzerland.com,"Swiss bicycle brand focused on road, gravel, mountain and triathlon bikes.",https://logo.clearbit.com/bmc-switzerland.com,1,2026-05-16T00:00:00+02:00,,"BMC is a Swiss bicycle brand known for road, triathlon, gravel and mountain bikes. The brand has a strong performance identity, with visibility in professional road racing and high-end frame engineering."
Canyon,canyon,7,2002,https://www.canyon.com,German direct-to-consumer bicycle brand.,https://logo.clearbit.com/canyon.com,1,2026-05-16T00:00:00+02:00,,"Canyon is a German bicycle brand known for its direct-to-consumer sales model and performance-oriented bikes. Its range covers road, gravel, triathlon, mountain and urban bikes."
Cube,cube,7,1993,https://www.cube.eu,"German bicycle brand producing road, mountain, gravel and e-bikes.",https://logo.clearbit.com/cube.eu,1,2026-05-16T00:00:00+02:00,,"Cube is a German bicycle brand with a broad range spanning mountain, road, gravel, touring, kids and e-bikes. The brand is known for offering wide model coverage across recreational and performance cycling."
Pinarello,pinarello,11,1952,https://pinarello.com,Italian high-end road and racing bicycle brand.,https://logo.clearbit.com/pinarello.com,1,2026-05-16T00:00:00+02:00,,Pinarello is an Italian bicycle brand strongly associated with road racing and premium carbon frames. The brand has a long presence in professional cycling and is known for high-performance road and time-trial bikes.
Colnago,colnago,11,1954,https://www.colnago.com,Italian bicycle brand with a strong road-racing heritage.,https://logo.clearbit.com/colnago.com,1,2026-05-16T00:00:00+02:00,,"Colnago is an Italian cycling brand with a deep heritage in steel, carbon and racing bicycles. It is one of the classic names in road cycling and is closely linked to professional racing history."
Bianchi,bianchi,11,1885,https://www.bianchi.com,Italian bicycle brand and one of the oldest bicycle manufacturers.,https://logo.clearbit.com/bianchi.com,1,2026-05-16T00:00:00+02:00,,Bianchi is one of the oldest bicycle brands in the world and is strongly associated with Italian road cycling heritage. Its celeste color and long racing history make it one of the most recognizable brands in cycling.
Orbea,orbea,8,1840,https://www.orbea.com,"Spanish bicycle brand producing road, mountain, gravel and electric bikes.",https://logo.clearbit.com/orbea.com,1,2026-05-16T00:00:00+02:00,,"Orbea is a Spanish bicycle brand with cooperative roots in the Basque Country. It produces road, mountain, gravel, triathlon, urban and e-bikes, with a strong European cycling presence."
Cervélo,cervelo,3,1995,https://www.cervelo.com,"Canadian bicycle brand focused on road, triathlon and gravel bikes.",https://logo.clearbit.com/cervelo.com,1,2026-05-16T00:00:00+02:00,,"Cervélo is a Canadian performance bicycle brand known for aerodynamic road, triathlon and time-trial bikes. The brand has a strong engineering identity and visibility in professional racing."
Santa Cruz Bicycles,santa_cruz_bicycles,16,1993,https://www.santacruzbicycles.com,American mountain bike brand.,https://logo.clearbit.com/santacruzbicycles.com,1,2026-05-16T00:00:00+02:00,,"Santa Cruz Bicycles is a California mountain-bike brand known for full-suspension bikes and aggressive trail, enduro and downhill models. The brand has a strong reputation among mountain bikers for durable frames and suspension design."
Shimano,shimano,12,1921,https://bike.shimano.com,"Japanese manufacturer of bicycle components, drivetrains, brakes and pedals.",https://logo.clearbit.com/bike.shimano.com,1,2026-05-16T00:00:00+02:00,,"Shimano is a Japanese component manufacturer and one of the dominant suppliers of bicycle drivetrains, brakes, pedals and wheels. The company also produces fishing and rowing equipment, but cycling components are central to its global profile."
SRAM,sram,16,1987,https://www.sram.com,"American bicycle component group covering drivetrains, brakes, suspension and wheels.",https://logo.clearbit.com/sram.com,1,2026-05-16T00:00:00+02:00,,"SRAM is a US cycling component brand known for drivetrains, brakes and electronic shifting. The group also owns or operates major cycling brands such as RockShox, Zipp and Quarq."
DT Swiss,dt_swiss,4,1994,https://www.dtswiss.com,"Swiss bicycle component brand known for wheels, hubs, spokes and suspension.",https://logo.clearbit.com/dtswiss.com,1,2026-05-16T00:00:00+02:00,,"DT Swiss is a Swiss cycling component brand known for spokes, hubs, rims, wheels and suspension products. The brand is especially associated with precision wheel-building and high-quality components."
Mavic,mavic,9,1889,https://www.mavic.com,French cycling component brand known for wheels and rims.,https://logo.clearbit.com/mavic.com,1,2026-05-16T00:00:00+02:00,,"Mavic is a French cycling brand historically known for rims and wheels and later for complete wheelsets, apparel and accessories. The brand has been strongly linked to road racing and neutral service support."
Campagnolo,campagnolo,11,1933,https://www.campagnolo.com,Italian cycling component manufacturer known for road drivetrains and wheels.,https://logo.clearbit.com/campagnolo.com,1,2026-05-16T00:00:00+02:00,,"Campagnolo is an Italian cycling component brand with a long racing heritage. It is known for drivetrains, wheels and premium road-cycling components."
Hope Technology,hope_technology,10,1989,https://www.hopetech.com,"British bicycle component manufacturer known for brakes, hubs and machined components.",https://logo.clearbit.com/hopetech.com,1,2026-05-16T00:00:00+02:00,,"Hope Technology is a British cycling component manufacturer known for hubs, brakes, headsets and machined aluminum parts. The brand has a strong mountain-bike and UK manufacturing identity."
Rapha,rapha,10,2004,https://www.rapha.cc,British cycling apparel and accessories brand.,https://logo.clearbit.com/rapha.cc,1,2026-05-16T00:00:00+02:00,,"Rapha is a British cycling apparel brand known for road-cycling clothing, clubs and lifestyle-oriented cycling products. The brand built a premium identity around performance apparel and cycling culture."
Nike,nike,16,1964,https://www.nike.com,"Global sportswear brand active in running footwear, apparel and equipment.",https://logo.clearbit.com/nike.com,1,2026-05-16T00:00:00+02:00,,"Nike is a global US sports brand with major presence in running shoes, apparel and sports equipment. In running, it is known for performance footwear, racing shoes and training apparel."
Adidas,adidas,7,1949,https://www.adidas.com,"German sportswear brand active in running, football and multiple sports categories.",https://logo.clearbit.com/adidas.com,1,2026-05-16T00:00:00+02:00,,"Adidas is a German global sports brand with a large running, football, training and lifestyle portfolio. Its running line includes daily trainers, racing shoes and apparel across performance and recreational segments."
ASICS,asics,12,1949,https://www.asics.com,Japanese sports brand known for running shoes and apparel.,https://logo.clearbit.com/asics.com,1,2026-05-16T00:00:00+02:00,,"ASICS is a Japanese sports brand with roots in running and court shoes. It is especially known for road-running footwear, stability shoes and performance models used by runners worldwide."
Brooks Running,brooks_running,16,1914,https://www.brooksrunning.com,American running footwear and apparel specialist.,https://logo.clearbit.com/brooksrunning.com,1,2026-05-16T00:00:00+02:00,,"Brooks Running is a US brand focused primarily on running shoes, apparel and accessories. Its identity is strongly tied to road running, gait categories and specialist running retailers."
New Balance,new_balance,16,1906,https://www.newbalance.com,American sports footwear and apparel brand with a strong running heritage.,https://logo.clearbit.com/newbalance.com,1,2026-05-16T00:00:00+02:00,,"New Balance is a US athletic brand known for running shoes, lifestyle footwear and apparel. The company has a long history in performance running and maintains manufacturing operations in the US and UK for selected products."
Saucony,saucony,16,1898,https://www.saucony.com,American running footwear and apparel brand.,https://logo.clearbit.com/saucony.com,1,2026-05-16T00:00:00+02:00,,"Saucony is a US running brand with roots in Pennsylvania and a long history in performance running shoes. It is known for road-running trainers, racing shoes and trail models."
HOKA,hoka,9,2009,https://www.hoka.com,"Running footwear brand originally founded in France, known for maximal-cushion running shoes.",https://logo.clearbit.com/hoka.com,1,2026-05-16T00:00:00+02:00,,"HOKA was founded in France with oversized midsoles designed for downhill and ultra-running. The brand became prominent in trail running, road running and endurance sports through maximal cushioning and lightweight design."
On,on,4,2010,https://www.on.com,Swiss running footwear and apparel brand.,https://logo.clearbit.com/on.com,1,2026-05-16T00:00:00+02:00,,"On is a Swiss running brand known for distinctive cushioning technology and lightweight running shoes. The brand expanded from running into training, outdoor and lifestyle products while retaining a performance-running identity."
Mizuno,mizuno,12,1906,https://www.mizuno.com,Japanese sports equipment and footwear brand active in running and team sports.,https://logo.clearbit.com/mizuno.com,1,2026-05-16T00:00:00+02:00,,"Mizuno is a Japanese sports brand with a broad portfolio including running, baseball, golf and volleyball. In running, it is known for performance trainers and wave-plate cushioning concepts."
Puma,puma,7,1948,https://www.puma.com,German sportswear brand active in running and multiple sports categories.,https://logo.clearbit.com/puma.com,1,2026-05-16T00:00:00+02:00,,"Puma is a German global sports brand active in running, football, training and lifestyle footwear and apparel. The brand has renewed its performance-running presence with racing and training shoe lines."
Altra,altra,16,2009,https://www.altrarunning.com,Running footwear brand known for zero-drop shoes and foot-shaped toe boxes.,https://logo.clearbit.com/altrarunning.com,1,2026-05-16T00:00:00+02:00,,"Altra is a US running brand known for foot-shaped toe boxes and zero-drop running shoes. It is particularly visible in trail running, ultrarunning and natural-running segments."
Inov-8,inov_8,10,2003,https://www.inov-8.com,"British running and outdoor footwear brand focused on trail, fell and obstacle running.",https://logo.clearbit.com/inov-8.com,1,2026-05-16T00:00:00+02:00,,"Inov-8 is a British running and outdoor brand focused on trail running, fell running, obstacle racing and functional training. The brand is known for grip-focused shoes and lightweight off-road products."
Rossignol,rossignol,9,1907,https://www.rossignol.com,"French ski and mountain sports brand producing skis, boots, bindings and apparel.",https://logo.clearbit.com/rossignol.com,1,2026-05-16T00:00:00+02:00,,"Rossignol is a French ski brand with a long history in alpine skiing and winter sports. Its range includes skis, boots, bindings, Nordic equipment and winter apparel."
Atomic,atomic,1,1955,https://www.atomic.com,"Austrian ski brand producing alpine, touring and Nordic ski equipment.",https://logo.clearbit.com/atomic.com,1,2026-05-16T00:00:00+02:00,,"Atomic is an Austrian ski brand known for alpine skis, ski boots, bindings and Nordic equipment. It has a strong racing heritage and broad coverage from recreational to World Cup-level products."
Head,head,16,1950,https://www.head.com,"Sports equipment brand known for skis, tennis, snowboards and winter sports equipment.",https://logo.clearbit.com/head.com,1,2026-05-16T00:00:00+02:00,,"Head was founded by Howard Head after developing metal-laminate ski technology and later expanded into skis, tennis, racquet sports and sportswear. In skiing, it is known for alpine skis, boots, bindings and race-oriented equipment."
Fischer,fischer,1,1924,https://www.fischersports.com,"Austrian ski brand active in alpine, Nordic and hockey equipment.",https://logo.clearbit.com/fischersports.com,1,2026-05-16T00:00:00+02:00,,"Fischer is an Austrian ski brand known for alpine and Nordic skis, boots and bindings. It has a long presence in ski racing, cross-country skiing and recreational winter sports."
Stöckli,stockli,4,1935,https://www.stoeckli.ch,Swiss ski manufacturer known for premium alpine skis.,https://logo.clearbit.com/stoeckli.ch,1,2026-05-16T00:00:00+02:00,,"Stöckli is a Swiss ski manufacturer known for premium alpine skis and strong racing links. The brand emphasizes Swiss production, precision construction and high-end ski performance."
Völkl,volkl,7,1923,https://www.voelkl.com,German ski brand producing alpine and freeride skis.,https://logo.clearbit.com/voelkl.com,1,2026-05-16T00:00:00+02:00,,"Völkl is a German ski brand with a long alpine-ski heritage. It is known for race, piste, freeride and touring skis and is one of the traditional European ski manufacturers."
Blizzard,blizzard,1,1945,https://www.blizzard-tecnica.com,Austrian ski brand producing alpine and freeride skis.,https://logo.clearbit.com/blizzard-tecnica.com,1,2026-05-16T00:00:00+02:00,,"Blizzard is an Austrian ski brand known for alpine, freeride and touring skis. The brand has a long history in European ski manufacturing and is widely used in both recreational and performance skiing."
K2,k2,16,1962,https://k2snow.com,American ski and snowboard brand.,https://logo.clearbit.com/k2snow.com,1,2026-05-16T00:00:00+02:00,,"K2 is a US ski brand that became known for fiberglass ski innovation and later expanded into snowboards, inline skates and outdoor products. Its ski range covers piste, freeride, touring and recreational models."
Dynastar,dynastar,9,1963,https://www.dynastar.com,"French ski brand focused on alpine, freeride and touring skis.",https://logo.clearbit.com/dynastar.com,1,2026-05-16T00:00:00+02:00,,"Dynastar is a French ski brand closely linked to the Chamonix and alpine-racing environment. It produces piste, race, freeride and touring skis and is part of the broader Rossignol group."
Nordica,nordica,11,1939,https://www.nordica.com,Italian ski brand producing ski boots and skis.,https://logo.clearbit.com/nordica.com,1,2026-05-16T00:00:00+02:00,,"Nordica is an Italian winter-sports brand known for ski boots and skis. It has a strong heritage in alpine skiing and covers racing, piste, all-mountain and freeride categories."
Lange,lange,9,1948,https://www.lange-boots.com,Ski boot brand with a long history in alpine ski racing.,https://logo.clearbit.com/lange-boots.com,1,2026-05-16T00:00:00+02:00,,Lange is a ski-boot brand historically associated with plastic ski-boot innovation and alpine racing. It remains best known for performance ski boots across racing and recreational segments.
Marker,marker,7,1952,https://www.marker.net,German ski binding brand.,https://logo.clearbit.com/marker.net,1,2026-05-16T00:00:00+02:00,,"Marker is a German ski-binding brand known for alpine, freeride and touring bindings. It is closely linked to ski safety, retention systems and high-performance binding design."
Tyrolia,tyrolia,1,1928,https://www.tyrolia.com,Austrian ski binding brand.,https://logo.clearbit.com/tyrolia.com,1,2026-05-16T00:00:00+02:00,,"Tyrolia is an Austrian ski-binding brand with a long history in alpine binding technology. It supplies bindings for recreational, performance and rental ski markets."
Elan,elan,15,1945,https://elanskis.com,"Slovenian ski brand producing alpine, touring and freeride skis.",https://logo.clearbit.com/elanskis.com,1,2026-05-16T00:00:00+02:00,,"Elan is a Slovenian ski brand known for alpine skis and for innovations such as shaped carving skis. The brand is associated with recreational, piste and all-mountain skiing."
Kästle,kastle,1,1924,https://www.kaestle.com,Austrian ski brand with alpine and Nordic equipment lines.,https://logo.clearbit.com/kaestle.com,1,2026-05-16T00:00:00+02:00,,"Kästle is an Austrian ski brand with a premium alpine heritage and a history in ski racing. It is known for high-end piste, all-mountain, freeride and touring skis."
